"filename", "language", "C++", "YAML", "Markdown", "C", "CSS", "HTML", "XML", "SCSS", "GLSL", "Python", "ShaderLab", "Objective-C", "Shell Script", "Batch", "Objective-C++", "reStructuredText", "CMake", "Makefile", "Java", "Rust", "Docker", "C#", "JavaScript", "HLSL", "comment", "blank", "total"
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\AMF\AMFImporter.cpp", "C++", 319, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 80, 521
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\AMF\AMFImporter.hpp", "C++", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 158, 49, 310
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\AMF\AMFImporter_Geometry.cpp", "C++", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 31, 285
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\AMF\AMFImporter_Material.cpp", "C++", 188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 112, 28, 328
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\AMF\AMFImporter_Node.hpp", "C++", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 44, 304
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\AMF\AMFImporter_Postprocess.cpp", "C++", 579, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 137, 896
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\ASE\ASELoader.cpp", "C++", 779, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 198, 1270
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\ASE\ASELoader.h", "C++", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 115, 32, 193
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\ASE\ASEParser.cpp", "C++", 1413, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 321, 162, 1896
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\ASE\ASEParser.h", "C++", 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 293, 130, 677
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assbin\AssbinExporter.cpp", "C++", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 7, 69
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assbin\AssbinExporter.h", "C++", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 7, 61
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assbin\AssbinFileWriter.cpp", "C++", 573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 131, 130, 834
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assbin\AssbinFileWriter.h", "C++", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 8, 66
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assbin\AssbinLoader.cpp", "C++", 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 102, 99, 735
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assbin\AssbinLoader.h", "C++", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 12, 100
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assjson\cencode.c", "C", 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 14, 118
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assjson\cencode.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 10, 36
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assjson\json_exporter.cpp", "C++", 659, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 135, 824
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assjson\mesh_splitter.cpp", "C++", 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 60, 320
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assjson\mesh_splitter.h", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 12, 53
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assxml\AssxmlExporter.cpp", "C++", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 7, 69
"d:\Documents\Cpp\OpenGLEngine\external\assimp\code\AssetLib\Assxml\AssxmlExporter.h", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 4, 53
